predictor,horizon,n_windows,mean_pct,pct_positive
breadth_sma200,5,71,0.0714962053381222,53.52112676056338
breadth_sma200,20,17,0.49110629525129545,64.70588235294117
breadth_sma200,60,5,-3.887966870406051,60.0
breadth_sma200,120,2,-15.270033831622886,0.0
breadth_sma50,5,101,-0.14078142463073987,45.54455445544555
breadth_sma50,20,25,0.6458596154124043,64.0
breadth_sma50,60,8,0.19488748428504776,62.5
breadth_sma50,120,4,-7.638924259028285,0.0
momentum_120d,5,87,-0.1449690579945734,42.5287356321839
momentum_120d,20,21,-0.1952483454741865,57.14285714285714
momentum_120d,60,7,1.2996496929480474,57.14285714285714
momentum_120d,120,3,9.127590799667386,100.0
momentum_20d,5,107,0.03193230472980012,45.794392523364486
momentum_20d,20,26,1.134506650836788,61.53846153846154
momentum_20d,60,8,-4.190677778965609,62.5
momentum_20d,120,4,8.126194623474941,75.0
momentum_252d,5,61,0.4406296797844895,62.295081967213115
momentum_252d,20,15,0.6436257141266118,46.666666666666664
momentum_252d,60,5,-0.7097328566557815,40.0
momentum_252d,120,2,-1.6514087791088596,50.0
momentum_60d,5,99,-0.061420056988143144,46.464646464646464
momentum_60d,20,24,-0.5149037488172736,45.83333333333333
momentum_60d,60,8,-2.5644907533451575,37.5
momentum_60d,120,4,-2.0294786755822884,75.0
