cagr,sharpe,max_drawdown_pct,volatility_annual,total_return,n_sessions,top_n,hold_days,side,costs_charged,n_rebalances,turnover_annual,total_cost_paid,cost_drag_pct_of_avg_equity,n_liquidated_missing,n_suspicious_moves,start_date,end_date,model_version,score_column,strategy,benchmark,benchmark_cagr,benchmark_total_return,benchmark_sharpe,benchmark_max_drawdown_pct,excess_total_return_vs_benchmark,survivorship_biased,survivorship_bias_direction,generated_at
0.20543434457424192,1.2789267097963657,-14.019840988260201,0.1558757719136675,0.5113081683715213,557,10,20,long,True,18.0,17.739227006862805,647.0988412302046,0.517064200279518,0.0,2.0,2024-06-24,2026-09-11,v0.5_expanded_universe,score_120d,long_only,SPY,0.17993328354862803,0.4415435941063315,1.0869545252850774,-18.7552344894273,0.06976457426518978,True,inflates returns (dead/demoted names absent),2026-09-14T21:58:08.780199+00:00
0.20791565510330412,1.2925145468698005,-13.898019438631092,0.1558259727796977,0.518192883502284,557,10,20,long,False,18.0,17.749009077988916,0.0,0.0,0.0,2.0,2024-06-24,2026-09-11,v0.5_expanded_universe,score_120d,long_only,SPY,0.17993328354862803,0.4415435941063315,1.0869545252850774,-18.7552344894273,0.0766492893959525,True,inflates returns (dead/demoted names absent),2026-09-14T21:58:09.334674+00:00
-0.05055411936929499,-0.36724579024230863,-21.670345044724126,0.12142454393130306,-0.10833437998204676,557,10,20,long_short,True,,,,,,,,,v0.5_expanded_universe,score_120d,long_short,,,,,,,True,inflates returns (dead/demoted names absent),2026-09-14T21:58:10.482178+00:00
0.17691300796742548,1.1888539396683202,-11.956089731975572,0.14628290682373968,0.4334003318641442,557,20,20,long,True,18.0,17.63261184008728,622.2088804233754,0.5026823689670172,0.0,8.0,2024-06-24,2026-09-11,v0.5_expanded_universe,score_120d,long_only,SPY,0.17993328354862803,0.4415435941063315,1.0869545252850774,-18.7552344894273,-0.00814326224218731,True,inflates returns (dead/demoted names absent),2026-09-14T21:58:11.121211+00:00
0.17929083250132494,1.2030729216843299,-11.814861061407345,0.1462290034195359,0.4398093033573607,557,20,20,long,False,18.0,17.642266782686914,0.0,0.0,0.0,8.0,2024-06-24,2026-09-11,v0.5_expanded_universe,score_120d,long_only,SPY,0.17993328354862803,0.4415435941063315,1.0869545252850774,-18.7552344894273,-0.0017342907489708015,True,inflates returns (dead/demoted names absent),2026-09-14T21:58:11.660212+00:00
-0.050889865665659006,-0.43177795738056957,-19.820628081119484,0.10772045326289359,-0.10903117453404809,557,20,20,long_short,True,,,,,,,,,v0.5_expanded_universe,score_120d,long_short,,,,,,,True,inflates returns (dead/demoted names absent),2026-09-14T21:58:12.771949+00:00
0.1502342724184449,1.0670910029659468,-12.720517565583888,0.1406891650037248,0.3625643704512509,557,30,20,long,True,18.0,17.418840585953486,599.5076423365374,0.4987120739725018,0.0,11.0,2024-06-24,2026-09-11,v0.5_expanded_universe,score_120d,long_only,SPY,0.17993328354862803,0.4415435941063315,1.0869545252850774,-18.7552344894273,-0.07897922365508059,True,inflates returns (dead/demoted names absent),2026-09-14T21:58:13.326081+00:00
0.1525741026426648,1.0819412812925397,-12.577749747367728,0.1406333088242339,0.36869837510243175,557,30,20,long,False,18.0,17.42875545636685,0.0,0.0,0.0,11.0,2024-06-24,2026-09-11,v0.5_expanded_universe,score_120d,long_only,SPY,0.17993328354862803,0.4415435941063315,1.0869545252850774,-18.7552344894273,-0.07284521900389973,True,inflates returns (dead/demoted names absent),2026-09-14T21:58:13.939340+00:00
-0.03460109842625325,-0.2897390444273176,-17.638092272221918,0.1033255318613565,-0.07488190908108838,557,30,20,long_short,True,,,,,,,,,v0.5_expanded_universe,score_120d,long_short,,,,,,,True,inflates returns (dead/demoted names absent),2026-09-14T21:58:15.162770+00:00
0.17703706372143668,1.2637118024476428,-12.489363438258616,0.13662838293685295,0.4337343133612219,557,10,60,long,True,6.0,5.63717846635518,208.06409885590986,0.17670776414330525,0.0,1.0,2024-06-24,2026-09-11,v0.5_expanded_universe,score_120d,long_only,SPY,0.17993328354862803,0.4415435941063315,1.0869545252850774,-18.7552344894273,-0.007809280745109559,True,inflates returns (dead/demoted names absent),2026-09-14T21:58:15.488005+00:00
0.17787139439995792,1.2688863495809932,-12.464807184567617,0.1366313255841436,0.4359815958753577,557,10,60,long,False,6.0,5.63851498617854,0.0,0.0,0.0,1.0,2024-06-24,2026-09-11,v0.5_expanded_universe,score_120d,long_only,SPY,0.17993328354862803,0.4415435941063315,1.0869545252850774,-18.7552344894273,-0.005561998230973808,True,inflates returns (dead/demoted names absent),2026-09-14T21:58:15.800826+00:00
0.019344962993411485,0.22279918235646656,-21.186932256026083,0.11678401384639901,0.04325974993555293,557,10,60,long_short,True,,,,,,,,,v0.5_expanded_universe,score_120d,long_short,,,,,,,True,inflates returns (dead/demoted names absent),2026-09-14T21:58:16.446125+00:00
0.10840804470515186,0.8336221617831847,-8.543111143785831,0.1345467028766827,0.2554530013306966,557,20,60,long,True,6.0,5.388727807333299,180.626833590686,0.16309698850526064,0.0,2.0,2024-06-24,2026-09-11,v0.5_expanded_universe,score_120d,long_only,SPY,0.17993328354862803,0.4415435941063315,1.0869545252850774,-18.7552344894273,-0.1860905927756349,True,inflates returns (dead/demoted names absent),2026-09-14T21:58:16.745828+00:00
0.10916655949300602,0.8386891265655488,-8.518683236693947,0.13455219545481728,0.2573527638760702,557,20,60,long,False,6.0,5.390058714813741,0.0,0.0,0.0,2.0,2024-06-24,2026-09-11,v0.5_expanded_universe,score_120d,long_only,SPY,0.17993328354862803,0.4415435941063315,1.0869545252850774,-18.7552344894273,-0.18419083023026128,True,inflates returns (dead/demoted names absent),2026-09-14T21:58:17.098190+00:00
