predictor,horizon,start_date,top_minus_bottom_pct,top_k_excess_vs_spy_pct
momentum_20d,5,1999-01-22,-0.9042290320342317,-3.284133885403895
momentum_20d,5,1999-01-29,-5.431467870107613,-0.02876587168902563
momentum_20d,5,1999-02-05,-0.42753705454925406,-1.0585960571543374
momentum_20d,5,1999-02-12,1.688790685338289,0.2969597440799424
momentum_20d,5,1999-02-22,1.7529345156788798,1.3129961339381122
momentum_20d,5,1999-03-01,-0.8708382453751939,-0.4562286727493925
momentum_20d,5,1999-03-08,-0.5985397509066978,-0.2289771920857738
momentum_20d,5,1999-03-15,-0.053609089443625454,0.5941444451556348
momentum_20d,5,1999-03-22,1.4857673896551757,-0.7290738741403697
momentum_20d,5,1999-03-29,-0.39562385646378545,-1.5888519310047384
momentum_20d,5,1999-04-06,-0.8305874727760896,1.2468801607666467
momentum_20d,5,1999-04-13,1.065172018643845,2.2856928164802186
momentum_20d,5,1999-04-20,-5.8991203799498555,-3.782263332146892
momentum_20d,5,1999-04-27,6.395515479748055,5.798767227089233
momentum_20d,5,1999-05-04,-0.9998198331440814,-0.7702921925498596
momentum_20d,5,1999-05-11,-2.702991604508224,-3.7234477883368235
momentum_20d,5,1999-05-18,-0.5825896269102977,0.3178104604105244
momentum_20d,5,1999-05-25,-1.9412365929080095,-0.9711647766640389
momentum_20d,5,1999-06-02,1.517728356499785,0.674231461751466
momentum_20d,5,1999-06-09,-0.7916768679789447,0.17393276260019297
momentum_20d,5,1999-06-16,-1.2885634171278897,-1.4972508854245912
momentum_20d,5,1999-06-23,0.7614959220461293,-0.5565651121031356
momentum_20d,5,1999-06-30,-0.09820084990206368,-0.576100242787499
momentum_20d,5,1999-07-08,0.1939593209661306,-0.26989502575338975
momentum_20d,5,1999-07-15,-4.545987978000998,-0.7123194844159575
momentum_20d,5,1999-07-22,-0.35799013089247156,-0.22642824644933945
momentum_20d,5,1999-07-29,7.049690069812406,4.690063565488819
momentum_20d,5,1999-08-05,0.9192481689824377,1.355965318946558
momentum_20d,5,1999-08-12,-3.7476417361893257,-2.5115356090456453
momentum_20d,5,1999-08-19,-1.3302680463916545,-3.0719917784543043
momentum_20d,5,1999-08-26,3.529759390119443,1.7537768046788527
momentum_20d,5,1999-09-02,1.1706807201918448,-0.18387433210098242
momentum_20d,5,1999-09-10,-0.03248755421455156,0.43001084681074664
momentum_20d,5,1999-09-17,-0.8840633796841376,-0.5958116526215733
momentum_20d,5,1999-09-24,0.8290021047763514,0.7056508301637694
momentum_20d,5,1999-10-01,1.5481798445547015,0.07104262444727061
momentum_20d,5,1999-10-08,-2.3258789762755896,1.450390955681998
momentum_20d,5,1999-10-15,-4.396488145999706,-1.7503983982262123
momentum_20d,5,1999-10-22,-0.3576605644228497,-1.1415977768605665
momentum_20d,5,1999-10-29,4.400730400554076,1.0798892629942825
momentum_20d,5,1999-11-05,-2.371099204993195,0.101711114024076
momentum_20d,5,1999-11-12,0.326823587980829,-0.46340366221323537
momentum_20d,5,1999-11-19,0.019570018239286127,-1.569730287301474
momentum_20d,5,1999-11-29,-1.9795378210735144,-0.7060903017322724
momentum_20d,5,1999-12-06,2.0363791375744067,0.45228263066649327
momentum_20d,5,1999-12-13,3.658353770669587,1.5067165378768768
momentum_20d,5,1999-12-20,1.5301018542535887,0.6249351796514164
momentum_20d,5,1999-12-28,4.164263187064976,2.722510168362284
momentum_20d,5,2000-01-04,0.2784917485863513,0.8638545873054496
momentum_20d,5,2000-01-11,1.003284089878298,-0.39107214617809527
momentum_20d,5,2000-01-19,-2.0197135081942137,-0.24491018453385674
momentum_20d,5,2000-01-26,0.7519256432624853,1.2074600744261401
momentum_20d,5,2000-02-02,2.5812599446506606,-0.659619021511378
momentum_20d,5,2000-02-09,-0.10140296570066987,-0.4828785772990729
momentum_20d,5,2000-02-16,1.4648450231419954,0.18894209541742518
momentum_20d,5,2000-02-24,-4.39768151920316,-1.5023675528518243
momentum_20d,5,2000-03-02,4.900127555006417,1.887282438894063
momentum_20d,5,2000-03-09,-10.689889936121396,-2.4011148849250414
momentum_20d,5,2000-03-16,3.0140717252089595,-0.21698032430773986
momentum_20d,5,2000-03-23,2.489201713179597,3.815767935469568
momentum_20d,5,2000-03-30,-0.1298775891967955,-0.06998780682598107
momentum_20d,5,2000-04-06,7.4516741508159985,5.375985526709456
momentum_20d,5,2000-04-13,-1.9100629331062269,-2.375039806823065
momentum_20d,5,2000-04-20,-5.018257890040978,-1.0909377170712644
momentum_20d,5,2000-04-28,-0.30607662680261677,-0.6098254393131792
momentum_20d,5,2000-05-05,3.5778609665200487,2.9495444521516796
momentum_20d,5,2000-05-12,2.382429149773002,1.9065478583135564
momentum_20d,5,2000-05-19,3.2207496730426555,0.6868744768513735
momentum_20d,5,2000-05-26,-10.473476877376061,-5.851383387775799
momentum_20d,5,2000-06-05,-0.19425319745547015,-1.1153887931891129
momentum_20d,5,2000-06-12,3.515965677849057,-0.4920638797869377
momentum_20d,5,2000-06-19,-0.1437151637104339,-1.5203480003841898
momentum_20d,5,2000-06-26,-2.4776200366486014,-0.9246761073153734
momentum_20d,5,2000-07-03,-5.367804086142222,-0.08382438866810413
momentum_20d,5,2000-07-11,3.17921362645193,-1.0763898889094459
momentum_20d,5,2000-07-18,3.021856041185948,1.3801581715325972
momentum_20d,5,2000-07-25,0.10461517517466785,0.25097225204061546
momentum_20d,5,2000-08-01,2.76239467141199,2.1367635177906257
