predictor,horizon,n_windows,mean_pct,median_pct,pct_positive,t_stat
momentum_120d,5,1370,9.91282972505382e-05,0.06848573247223802,51.45985401459854,0.0014606198774391812
momentum_120d,20,342,0.027459362090247533,0.07608608936756447,51.461988304093566,0.11959092965758618
momentum_120d,60,114,0.28898469820097245,0.5605637901118083,51.75438596491229,0.412837813230224
momentum_120d,120,57,1.9506279358388816,1.220611614673195,57.89473684210527,1.7459448407911695
momentum_20d,5,1390,-0.1102375825107009,-0.05779988919203394,48.63309352517985,-1.6327912510361164
momentum_20d,20,347,-0.019811188481934687,-0.24732952599767105,48.70317002881844,-0.08656405714753389
momentum_20d,60,115,0.5700757236457968,0.9581625713279177,53.04347826086957,0.9178643363121055
momentum_20d,120,57,0.7355551101961968,1.6523392351418345,59.64912280701754,0.5637103723649114
momentum_252d,5,1344,0.028726210743093256,0.21749459100917262,53.79464285714286,0.40232150755195956
momentum_252d,20,336,0.11570605862263006,0.6428695205169661,55.05952380952381,0.4646186249638933
momentum_252d,60,112,0.26266820023562204,0.110097846668091,50.0,0.39782923426757166
momentum_252d,120,56,0.11207664793606613,0.10210471882171607,50.0,0.10404255090979958
momentum_60d,5,1382,-0.08534806913850118,-0.029687588593394855,49.63820549927641,-1.257294551559494
momentum_60d,20,345,-0.012746583221982615,0.19991513588608276,51.30434782608696,-0.05336988555881159
momentum_60d,60,115,-0.5305235462842137,-1.1380481805706906,39.130434782608695,-0.7948116048751019
momentum_60d,120,57,-0.44657498012150226,-1.9810741698479037,45.614035087719294,-0.329344881082813
