model_version,predictor,horizon,n_sectors,ic_mean,ic_median,ic_std,pct_days_positive,n_days,overlap_adjusted_t,effective_independent_n,min_detectable_ic,generated_at,p_value,family_size,survives_bh_fdr,n_nominally_significant,expected_false_positives_at_alpha
v0.5_expanded_universe,momentum_20d,5,12,-0.021743705732469785,-0.0034965034965034965,0.378230975724044,48.87640449438202,534,-0.5941034784836882,106.8,0.10247773032116153,2026-09-16T18:07:09.705589+00:00,0.5537111290146615,17,False,0,0.85
v0.5_expanded_universe,momentum_20d,20,12,0.03697602975059623,0.055944055944055944,0.38633791915938953,54.52793834296724,519,0.48755276339330056,25.9,0.21235216180725697,2026-09-16T18:07:09.987864+00:00,0.6301318446847066,17,False,0,0.85
v0.5_expanded_universe,momentum_20d,60,12,0.004721270378890418,0.013986013986013986,0.4224628562862003,50.52192066805845,479,0.03157638967716516,8.0,0.41865321514109155,2026-09-16T18:07:10.228861+00:00,0.9756913363902904,17,False,0,0.85
v0.5_expanded_universe,momentum_20d,120,12,-0.05284214592090487,-0.06293706293706294,0.3698496055649894,43.43675417661098,419,-0.266975663550806,3.5,0.5542003589790758,2026-09-16T18:07:10.430808+00:00,,17,False,0,0.85
v0.5_expanded_universe,momentum_60d,5,12,0.02039458517191311,0.013986013986013986,0.39038799327160284,51.012145748987855,494,0.519274380576814,98.8,0.10997045226441599,2026-09-16T18:07:10.648220+00:00,0.6047425902421466,17,False,0,0.85
v0.5_expanded_universe,momentum_60d,20,12,-0.023116236581789816,-0.055944055944055944,0.3938804105970469,45.3027139874739,479,-0.28721393524349736,23.9,0.22535627449321988,2026-09-16T18:07:10.894591+00:00,0.7765314301346229,17,False,0,0.85
v0.5_expanded_universe,momentum_60d,60,12,-0.08335741707040113,-0.09090909090909093,0.42982496961744143,40.091116173120724,439,-0.5245769972355003,7.3,0.44493138095481854,2026-09-16T18:07:11.086598+00:00,0.6178179183553947,17,False,0,0.85
v0.5_expanded_universe,momentum_60d,120,12,0.014608742181301558,0.06993006993006995,0.37324716858565454,58.839050131926115,379,0.06955771145473785,3.2,0.5880653237745099,2026-09-16T18:07:11.352473+00:00,,17,False,0,0.85
v0.5_expanded_universe,momentum_120d,5,12,-0.008530639867045399,-0.038461538461538464,0.37912110431712104,47.69585253456221,434,-0.2096348634206375,86.8,0.11393997753035806,2026-09-16T18:07:11.567165+00:00,0.8344496360138323,17,False,0,0.85
v0.5_expanded_universe,momentum_120d,20,12,-0.06410117328971744,-0.07692307692307693,0.3499351559018376,41.05011933174224,419,-0.8384369641463434,20.9,0.2140689078444319,2026-09-16T18:07:11.826797+00:00,0.4117435798130742,17,False,0,0.85
