ticker,sector,benchmark,notes,size_bucket
SON,Materials,IJH,sp400_auto,mid
SPXC,Industrials,IJH,sp400_auto,mid
SR,Utilities,IJH,sp400_auto,mid
SSB,Financials,IJH,sp400_auto,mid
SSD,Industrials,IJH,sp400_auto,mid
ST,Industrials,IJH,sp400_auto,mid
STAG,Real Estate,IJH,sp400_auto,mid
STRL,Industrials,IJH,sp400_auto,mid
STWD,Financials,IJH,sp400_auto,mid
SWX,Utilities,IJH,sp400_auto,mid
SYNA,Semiconductors,IJH,sp400_auto,mid
TCBI,Financials,IJH,sp400_auto,mid
TEX,Industrials,IJH,sp400_auto,mid
THC,Health Care,IJH,sp400_auto,mid
THG,Financials,IJH,sp400_auto,mid
THO,Consumer Discretionary,IJH,sp400_auto,mid
TKR,Industrials,IJH,sp400_auto,mid
TLN,Utilities,IJH,sp400_auto,mid
TNL,Consumer Discretionary,IJH,sp400_auto,mid
TOL,Consumer Discretionary,IJH,sp400_auto,mid
TOST,Financials,IJH,sp400_auto,mid
TREX,Industrials,IJH,sp400_auto,mid
TRU,Industrials,IJH,sp400_auto,mid
TTC,Industrials,IJH,sp400_auto,mid
TTEK,Industrials,IJH,sp400_auto,mid
TTMI,Information Technology,IJH,sp400_auto,mid
TWLO,Information Technology,IJH,sp400_auto,mid
TXNM,Utilities,IJH,sp400_auto,mid
TXRH,Consumer Discretionary,IJH,sp400_auto,mid
UBSI,Financials,IJH,sp400_auto,mid
UFPI,Industrials,IJH,sp400_auto,mid
UGI,Utilities,IJH,sp400_auto,mid
ULS,Industrials,IJH,sp400_auto,mid
UMBF,Financials,IJH,sp400_auto,mid
UNM,Financials,IJH,sp400_auto,mid
USFD,Consumer Staples,IJH,sp400_auto,mid
UTHR,Health Care,IJH,sp400_auto,mid
VAL,Energy,IJH,sp400_auto,mid
VC,Consumer Discretionary,IJH,sp400_auto,mid
VFC,Consumer Discretionary,IJH,sp400_auto,mid
VIAV,Information Technology,IJH,sp400_auto,mid
VICR,Industrials,IJH,sp400_auto,mid
VLY,Financials,IJH,sp400_auto,mid
VMI,Industrials,IJH,sp400_auto,mid
VNO,Real Estate,IJH,sp400_auto,mid
VNOM,Energy,IJH,sp400_auto,mid
VNT,Information Technology,IJH,sp400_auto,mid
VOYA,Financials,IJH,sp400_auto,mid
VVV,Consumer Discretionary,IJH,sp400_auto,mid
WAL,Financials,IJH,sp400_auto,mid
WBS,Financials,IJH,sp400_auto,mid
WCC,Industrials,IJH,sp400_auto,mid
WEX,Financials,IJH,sp400_auto,mid
WFRD,Energy,IJH,sp400_auto,mid
WH,Consumer Discretionary,IJH,sp400_auto,mid
WHR,Consumer Discretionary,IJH,sp400_auto,mid
WING,Consumer Discretionary,IJH,sp400_auto,mid
WLK,Materials,IJH,sp400_auto,mid
WMG,Communication Services,IJH,sp400_auto,mid
WMS,Industrials,IJH,sp400_auto,mid
WPC,Real Estate,IJH,sp400_auto,mid
WSO,Industrials,IJH,sp400_auto,mid
WTFC,Financials,IJH,sp400_auto,mid
WTRG,Utilities,IJH,sp400_auto,mid
WTS,Industrials,IJH,sp400_auto,mid
WWD,Industrials,IJH,sp400_auto,mid
XPO,Industrials,IJH,sp400_auto,mid
XRAY,Health Care,IJH,sp400_auto,mid
YETI,Consumer Discretionary,IJH,sp400_auto,mid
ZION,Financials,IJH,sp400_auto,mid
AAMI,Financials,IJR,sp600_auto,small
AAP,Consumer Discretionary,IJR,sp600_auto,small
AAT,Real Estate,IJR,sp600_auto,small
ABCB,Financials,IJR,sp600_auto,small
ABG,Consumer Discretionary,IJR,sp600_auto,small
ABM,Industrials,IJR,sp600_auto,small
ABR,Financials,IJR,sp600_auto,small
ACA,Industrials,IJR,sp600_auto,small
ACAD,Health Care,IJR,sp600_auto,small
ACHC,Health Care,IJR,sp600_auto,small
ACIW,Information Technology,IJR,sp600_auto,small
ACLS,Semiconductors,IJR,sp600_auto,small
ACMR,Semiconductors,IJR,sp600_auto,small
ACT,Financials,IJR,sp600_auto,small
ADAM,Real Estate,IJR,sp600_auto,small
ADEA,Information Technology,IJR,sp600_auto,small
ADIG,Information Technology,IJR,sp600_auto,small
ADMA,Health Care,IJR,sp600_auto,small
ADNT,Consumer Discretionary,IJR,sp600_auto,small
ADT,Consumer Discretionary,IJR,sp600_auto,small
ADUS,Health Care,IJR,sp600_auto,small
AEO,Consumer Discretionary,IJR,sp600_auto,small
AESI,Energy,IJR,sp600_auto,small
AGNT,Real Estate,IJR,sp600_auto,small
AGO,Financials,IJR,sp600_auto,small
AGX,Industrials,IJR,sp600_auto,small
AGYS,Information Technology,IJR,sp600_auto,small
AHCO,Health Care,IJR,sp600_auto,small
AIN,Industrials,IJR,sp600_auto,small
AIR,Industrials,IJR,sp600_auto,small
AKR,Real Estate,IJR,sp600_auto,small
ALG,Industrials,IJR,sp600_auto,small
ALGT,Industrials,IJR,sp600_auto,small
ALHC,Health Care,IJR,sp600_auto,small
ALKS,Health Care,IJR,sp600_auto,small
ALRM,Financials,IJR,sp600_auto,small
AMN,Health Care,IJR,sp600_auto,small
AMPH,Health Care,IJR,sp600_auto,small
AMR,Materials,IJR,sp600_auto,small
AMRX,Health Care,IJR,sp600_auto,small
AMSF,Financials,IJR,sp600_auto,small
AMTM,Industrials,IJR,sp600_auto,small
ANDE,Consumer Staples,IJR,sp600_auto,small
ANIP,Health Care,IJR,sp600_auto,small
AORT,Health Care,IJR,sp600_auto,small
AOSL,Semiconductors,IJR,sp600_auto,small
APAM,Financials,IJR,sp600_auto,small
APLE,Real Estate,IJR,sp600_auto,small
APOG,Industrials,IJR,sp600_auto,small
ARCB,Industrials,IJR,sp600_auto,small
ARLO,Information Technology,IJR,sp600_auto,small
AROC,Energy,IJR,sp600_auto,small
ARR,Real Estate,IJR,sp600_auto,small
ASO,Consumer Discretionary,IJR,sp600_auto,small
ASTE,Industrials,IJR,sp600_auto,small
ASTH,Health Care,IJR,sp600_auto,small
ATEN,Information Technology,IJR,sp600_auto,small
ATMU,Industrials,IJR,sp600_auto,small
AUB,Financials,IJR,sp600_auto,small
AVA,Utilities,IJR,sp600_auto,small
AWI,Industrials,IJR,sp600_auto,small
AWR,Utilities,IJR,sp600_auto,small
AX,Financials,IJR,sp600_auto,small
AZTA,Health Care,IJR,sp600_auto,small
AZZ,Industrials,IJR,sp600_auto,small
BANC,Financials,IJR,sp600_auto,small
BANF,Financials,IJR,sp600_auto,small
BANR,Financials,IJR,sp600_auto,small
BBT,Financials,IJR,sp600_auto,small
BCC,Industrials,IJR,sp600_auto,small
BCPC,Materials,IJR,sp600_auto,small
BFAM,Consumer Discretionary,IJR,sp600_auto,small
BFH,Financials,IJR,sp600_auto,small
BFS,Real Estate,IJR,sp600_auto,small
BGC,Financials,IJR,sp600_auto,small
BHE,Information Technology,IJR,sp600_auto,small
BJRI,Consumer Discretionary,IJR,sp600_auto,small
BKE,Consumer Discretionary,IJR,sp600_auto,small
BKU,Financials,IJR,sp600_auto,small
BL,Information Technology,IJR,sp600_auto,small
BLFS,Health Care,IJR,sp600_auto,small
BLKB,Information Technology,IJR,sp600_auto,small
BMI,Information Technology,IJR,sp600_auto,small
BNL,Real Estate,IJR,sp600_auto,small
BOH,Financials,IJR,sp600_auto,small
BOOT,Consumer Discretionary,IJR,sp600_auto,small
BOX,Information Technology,IJR,sp600_auto,small
BRC,Industrials,IJR,sp600_auto,small
BTU,Energy,IJR,sp600_auto,small
BXMT,Financials,IJR,sp600_auto,small
CACC,Financials,IJR,sp600_auto,small
CAKE,Consumer Discretionary,IJR,sp600_auto,small
CALM,Consumer Staples,IJR,sp600_auto,small
CALX,Information Technology,IJR,sp600_auto,small
CALY,Consumer Discretionary,IJR,sp600_auto,small
CARG,Communication Services,IJR,sp600_auto,small
CASH,Financials,IJR,sp600_auto,small
CATY,Financials,IJR,sp600_auto,small
CBRL,Consumer Discretionary,IJR,sp600_auto,small
CBU,Financials,IJR,sp600_auto,small
CC,Materials,IJR,sp600_auto,small
CCOI,Communication Services,IJR,sp600_auto,small
CCS,Consumer Discretionary,IJR,sp600_auto,small
CE,Materials,IJR,sp600_auto,small
CENT,Consumer Staples,IJR,sp600_auto,small
CENTA,Consumer Staples,IJR,sp600_auto,small
CENX,Materials,IJR,sp600_auto,small
CERT,Health Care,IJR,sp600_auto,small
CFFN,Financials,IJR,sp600_auto,small
CHCO,Financials,IJR,sp600_auto,small
CHEF,Consumer Staples,IJR,sp600_auto,small
CLSK,Information Technology,IJR,sp600_auto,small
CNK,Communication Services,IJR,sp600_auto,small
CNMD,Health Care,IJR,sp600_auto,small
CNR,Energy,IJR,sp600_auto,small
CNS,Financials,IJR,sp600_auto,small
CNXC,Industrials,IJR,sp600_auto,small
CNXN,Information Technology,IJR,sp600_auto,small
COCO,Consumer Staples,IJR,sp600_auto,small
COHU,Semiconductors,IJR,sp600_auto,small
COLL,Health Care,IJR,sp600_auto,small
CON,Health Care,IJR,sp600_auto,small
CORT,Health Care,IJR,sp600_auto,small
COTY,Consumer Staples,IJR,sp600_auto,small
CPB,Consumer Staples,IJR,sp600_auto,small
CPF,Financials,IJR,sp600_auto,small
CPK,Utilities,IJR,sp600_auto,small
CRC,Energy,IJR,sp600_auto,small
CRGY,Energy,IJR,sp600_auto,small
CRI,Consumer Discretionary,IJR,sp600_auto,small
CRK,Energy,IJR,sp600_auto,small
CRSR,Information Technology,IJR,sp600_auto,small
CRVL,Health Care,IJR,sp600_auto,small
CSR,Real Estate,IJR,sp600_auto,small
CSW,Industrials,IJR,sp600_auto,small
CTS,Information Technology,IJR,sp600_auto,small
CUBI,Financials,IJR,sp600_auto,small
CURB,Real Estate,IJR,sp600_auto,small
CVBF,Financials,IJR,sp600_auto,small
CVCO,Consumer Discretionary,IJR,sp600_auto,small
CVI,Energy,IJR,sp600_auto,small
CVSA,Consumer Discretionary,IJR,sp600_auto,small
CWEN,Utilities,IJR,sp600_auto,small
CWEN-A,Utilities,IJR,sp600_auto,small
CWK,Real Estate,IJR,sp600_auto,small
CWST,Industrials,IJR,sp600_auto,small
CWT,Utilities,IJR,sp600_auto,small
CXM,Information Technology,IJR,sp600_auto,small
CXW,Industrials,IJR,sp600_auto,small
CZR,Consumer Discretionary,IJR,sp600_auto,small
DAN,Consumer Discretionary,IJR,sp600_auto,small
DAVE,Financials,IJR,sp600_auto,small
DBD,Information Technology,IJR,sp600_auto,small
DCH,Consumer Discretionary,IJR,sp600_auto,small
DCOM,Financials,IJR,sp600_auto,small
DEA,Real Estate,IJR,sp600_auto,small
DEI,Real Estate,IJR,sp600_auto,small
DFH,Consumer Discretionary,IJR,sp600_auto,small
DFIN,Financials,IJR,sp600_auto,small
DGII,Information Technology,IJR,sp600_auto,small
DIOD,Semiconductors,IJR,sp600_auto,small
DLX,Industrials,IJR,sp600_auto,small
DMC,Consumer Staples,IJR,sp600_auto,small
DNOW,Industrials,IJR,sp600_auto,small
DORM,Consumer Discretionary,IJR,sp600_auto,small
DRH,Real Estate,IJR,sp600_auto,small
DV,Communication Services,IJR,sp600_auto,small
DXC,Information Technology,IJR,sp600_auto,small
DXPE,Industrials,IJR,sp600_auto,small
EAT,Consumer Discretionary,IJR,sp600_auto,small
EBC,Financials,IJR,sp600_auto,small
ECG,Industrials,IJR,sp600_auto,small
ECPG,Financials,IJR,sp600_auto,small
EFC,Financials,IJR,sp600_auto,small
EFOR,Information Technology,IJR,sp600_auto,small
EGBN,Financials,IJR,sp600_auto,small
EIG,Financials,IJR,sp600_auto,small
EMN,Materials,IJR,sp600_auto,small
ENOV,Health Care,IJR,sp600_auto,small
ENPH,Semiconductors,IJR,sp600_auto,small
ENR,Consumer Staples,IJR,sp600_auto,small
ENVA,Financials,IJR,sp600_auto,small
EPAC,Industrials,IJR,sp600_auto,small
EPAM,Information Technology,IJR,sp600_auto,small
EPC,Consumer Staples,IJR,sp600_auto,small
EPRT,Real Estate,IJR,sp600_auto,small
ESE,Industrials,IJR,sp600_auto,small
ESI,Materials,IJR,sp600_auto,small
ETSY,Consumer Discretionary,IJR,sp600_auto,small
EVTC,Financials,IJR,sp600_auto,small
EXTR,Information Technology,IJR,sp600_auto,small
EYE,Consumer Discretionary,IJR,sp600_auto,small
EZPW,Financials,IJR,sp600_auto,small
FA,Industrials,IJR,sp600_auto,small
FBK,Financials,IJR,sp600_auto,small
FBNC,Financials,IJR,sp600_auto,small
FBP,Financials,IJR,sp600_auto,small
FBRT,Real Estate,IJR,sp600_auto,small
FCF,Financials,IJR,sp600_auto,small
FCPT,Real Estate,IJR,sp600_auto,small
FELE,Industrials,IJR,sp600_auto,small
FFBC,Financials,IJR,sp600_auto,small
FG,Financials,IJR,sp600_auto,small
FHB,Financials,IJR,sp600_auto,small
FIBK,Financials,IJR,sp600_auto,small
FIVN,Information Technology,IJR,sp600_auto,small
FIZZ,Consumer Staples,IJR,sp600_auto,small
FLO,Consumer Staples,IJR,sp600_auto,small
FMC,Materials,IJR,sp600_auto,small
FORM,Semiconductors,IJR,sp600_auto,small
FOXF,Consumer Discretionary,IJR,sp600_auto,small
FRPT,Consumer Staples,IJR,sp600_auto,small
FSS,Industrials,IJR,sp600_auto,small
FTDR,Consumer Discretionary,IJR,sp600_auto,small
FTRE,Health Care,IJR,sp600_auto,small
FUL,Materials,IJR,sp600_auto,small
FULT,Financials,IJR,sp600_auto,small
FUN,Consumer Discretionary,IJR,sp600_auto,small
GBX,Industrials,IJR,sp600_auto,small
GEO,Industrials,IJR,sp600_auto,small
GFF,Industrials,IJR,sp600_auto,small
GIII,Consumer Discretionary,IJR,sp600_auto,small
GKOS,Health Care,IJR,sp600_auto,small
GNL,Real Estate,IJR,sp600_auto,small
GNW,Financials,IJR,sp600_auto,small
GO,Consumer Staples,IJR,sp600_auto,small
GOLF,Consumer Discretionary,IJR,sp600_auto,small
GPI,Consumer Discretionary,IJR,sp600_auto,small
GPOR,Energy,IJR,sp600_auto,small
GRBK,Consumer Discretionary,IJR,sp600_auto,small
GSHD,Financials,IJR,sp600_auto,small
GT,Consumer Discretionary,IJR,sp600_auto,small
GTES,Industrials,IJR,sp600_auto,small
GTM,Communication Services,IJR,sp600_auto,small
GTY,Real Estate,IJR,sp600_auto,small
GVA,Industrials,IJR,sp600_auto,small
HAFC,Financials,IJR,sp600_auto,small
HASI,Financials,IJR,sp600_auto,small
HAYW,Industrials,IJR,sp600_auto,small
HCC,Materials,IJR,sp600_auto,small
HCI,Financials,IJR,sp600_auto,small
HCSG,Industrials,IJR,sp600_auto,small
HE,Utilities,IJR,sp600_auto,small
HFWA,Financials,IJR,sp600_auto,small
HIW,Real Estate,IJR,sp600_auto,small
HLIT,Information Technology,IJR,sp600_auto,small
HLX,Energy,IJR,sp600_auto,small
HMN,Financials,IJR,sp600_auto,small
HNI,Industrials,IJR,sp600_auto,small
HOPE,Financials,IJR,sp600_auto,small
HP,Energy,IJR,sp600_auto,small
HRMY,Health Care,IJR,sp600_auto,small
HSTM,Health Care,IJR,sp600_auto,small
HTH,Financials,IJR,sp600_auto,small
HTLD,Industrials,IJR,sp600_auto,small
HTO,Utilities,IJR,sp600_auto,small
HUBG,Industrials,IJR,sp600_auto,small
HWKN,Materials,IJR,sp600_auto,small
HZO,Consumer Discretionary,IJR,sp600_auto,small
IART,Health Care,IJR,sp600_auto,small
IBP,Consumer Discretionary,IJR,sp600_auto,small
ICHR,Semiconductors,IJR,sp600_auto,small
ICUI,Health Care,IJR,sp600_auto,small
IIPR,Real Estate,IJR,sp600_auto,small
INDB,Financials,IJR,sp600_auto,small
INDV,Health Care,IJR,sp600_auto,small
INSP,Health Care,IJR,sp600_auto,small
INSW,Energy,IJR,sp600_auto,small
INVA,Health Care,IJR,sp600_auto,small
INVX,Energy,IJR,sp600_auto,small
IOSP,Materials,IJR,sp600_auto,small
IPAR,Consumer Staples,IJR,sp600_auto,small
IRDM,Communication Services,IJR,sp600_auto,small
ITGR,Health Care,IJR,sp600_auto,small
ITRI,Information Technology,IJR,sp600_auto,small
IVT,Real Estate,IJR,sp600_auto,small
JBGS,Real Estate,IJR,sp600_auto,small
JBLU,Industrials,IJR,sp600_auto,small
JBSS,Consumer Staples,IJR,sp600_auto,small
JBTM,Industrials,IJR,sp600_auto,small
JJSF,Consumer Staples,IJR,sp600_auto,small
JOE,Real Estate,IJR,sp600_auto,small
JXN,Financials,IJR,sp600_auto,small
KAI,Industrials,IJR,sp600_auto,small
KALU,Materials,IJR,sp600_auto,small
KFY,Industrials,IJR,sp600_auto,small
KGS,Energy,IJR,sp600_auto,small
KLIC,Semiconductors,IJR,sp600_auto,small
KMPR,Financials,IJR,sp600_auto,small
KMT,Industrials,IJR,sp600_auto,small
KMX,Consumer Discretionary,IJR,sp600_auto,small
KN,Information Technology,IJR,sp600_auto,small
KNTK,Energy,IJR,sp600_auto,small
KOP,Materials,IJR,sp600_auto,small
KRMN,Industrials,IJR,sp600_auto,small
KSS,Consumer Discretionary,IJR,sp600_auto,small
KTB,Consumer Discretionary,IJR,sp600_auto,small
KWR,Materials,IJR,sp600_auto,small
LAUR,Consumer Discretionary,IJR,sp600_auto,small
LAZ,Financials,IJR,sp600_auto,small
LBRT,Energy,IJR,sp600_auto,small
LCII,Consumer Discretionary,IJR,sp600_auto,small
LEG,Consumer Discretionary,IJR,sp600_auto,small
LEU,Energy,IJR,sp600_auto,small
LFST,Health Care,IJR,sp600_auto,small
LGIH,Consumer Discretionary,IJR,sp600_auto,small
LIF,Information Technology,IJR,sp600_auto,small
LGND,Health Care,IJR,sp600_auto,small
LKFN,Financials,IJR,sp600_auto,small
LKQ,Consumer Discretionary,IJR,sp600_auto,small
LMAT,Health Care,IJR,sp600_auto,small
LNC,Financials,IJR,sp600_auto,small
LNN,Materials,IJR,sp600_auto,small
LPG,Energy,IJR,sp600_auto,small
LQDA,Health Care,IJR,sp600_auto,small
LQDT,Industrials,IJR,sp600_auto,small
LRN,Consumer Discretionary,IJR,sp600_auto,small
LTC,Real Estate,IJR,sp600_auto,small
LTH,Consumer Discretionary,IJR,sp600_auto,small
LUMN,Communication Services,IJR,sp600_auto,small
LW,Consumer Staples,IJR,sp600_auto,small
LXP,Real Estate,IJR,sp600_auto,small
LYFT,Industrials,IJR,sp600_auto,small
LZ,Industrials,IJR,sp600_auto,small
LZB,Consumer Discretionary,IJR,sp600_auto,small
MAC,Real Estate,IJR,sp600_auto,small
MAN,Industrials,IJR,sp600_auto,small
MARA,Information Technology,IJR,sp600_auto,small
MATW,Consumer Discretionary,IJR,sp600_auto,small
MATX,Industrials,IJR,sp600_auto,small
MBC,Industrials,IJR,sp600_auto,small
MBGL,Industrials,IJR,sp600_auto,small
MBIN,Financials,IJR,sp600_auto,small
MC,Financials,IJR,sp600_auto,small
MCRI,Consumer Discretionary,IJR,sp600_auto,small
MCY,Financials,IJR,sp600_auto,small
MD,Health Care,IJR,sp600_auto,small
MDU,Utilities,IJR,sp600_auto,small
MFP,Industrials,IJR,sp600_auto,small
MGEE,Utilities,IJR,sp600_auto,small
MGY,Energy,IJR,sp600_auto,small
MHK,Consumer Discretionary,IJR,sp600_auto,small
MHO,Consumer Discretionary,IJR,sp600_auto,small
MIR,Information Technology,IJR,sp600_auto,small
MKTX,Financials,IJR,sp600_auto,small
MLKN,Industrials,IJR,sp600_auto,small
MMI,Real Estate,IJR,sp600_auto,small
MMSI,Health Care,IJR,sp600_auto,small
MPT,Real Estate,IJR,sp600_auto,small
MRCY,Industrials,IJR,sp600_auto,small
MRP,Real Estate,IJR,sp600_auto,small
MRTN,Industrials,IJR,sp600_auto,small
MSEX,Utilities,IJR,sp600_auto,small
MSGS,Communication Services,IJR,sp600_auto,small
MTCH,Communication Services,IJR,sp600_auto,small
MTH,Consumer Discretionary,IJR,sp600_auto,small
MTRN,Materials,IJR,sp600_auto,small
MTUS,Materials,IJR,sp600_auto,small
MTX,Materials,IJR,sp600_auto,small
MWA,Industrials,IJR,sp600_auto,small
MXL,Semiconductors,IJR,sp600_auto,small
MYRG,Industrials,IJR,sp600_auto,small
NABL,Information Technology,IJR,sp600_auto,small
NATL,Financials,IJR,sp600_auto,small
NAVI,Financials,IJR,sp600_auto,small
NBHC,Financials,IJR,sp600_auto,small
NBTB,Financials,IJR,sp600_auto,small
NE,Energy,IJR,sp600_auto,small
NEO,Health Care,IJR,sp600_auto,small
NEOG,Health Care,IJR,sp600_auto,small
NGVT,Materials,IJR,sp600_auto,small
NHC,Health Care,IJR,sp600_auto,small
NHI,Real Estate,IJR,sp600_auto,small
NIC,Financials,IJR,sp600_auto,small
NMIH,Financials,IJR,sp600_auto,small
NOG,Energy,IJR,sp600_auto,small
NPK,Industrials,IJR,sp600_auto,small
NPO,Industrials,IJR,sp600_auto,small
NSIT,Industrials,IJR,sp600_auto,small
NSP,Industrials,IJR,sp600_auto,small
NSSC,Information Technology,IJR,sp600_auto,small
NTCT,Information Technology,IJR,sp600_auto,small
NTST,Real Estate,IJR,sp600_auto,small
NWBI,Financials,IJR,sp600_auto,small
NWL,Consumer Discretionary,IJR,sp600_auto,small
NWN,Utilities,IJR,sp600_auto,small
NX,Industrials,IJR,sp600_auto,small
NXRT,Real Estate,IJR,sp600_auto,small
OFG,Financials,IJR,sp600_auto,small
OGN,Health Care,IJR,sp600_auto,small
OI,Materials,IJR,sp600_auto,small
OII,Energy,IJR,sp600_auto,small
OMCL,Health Care,IJR,sp600_auto,small
OPLN,Industrials,IJR,sp600_auto,small
OSIS,Information Technology,IJR,sp600_auto,small
OSW,Consumer Discretionary,IJR,sp600_auto,small
OTTR,Utilities,IJR,sp600_auto,small
OUT,Real Estate,IJR,sp600_auto,small
PAHC,Health Care,IJR,sp600_auto,small
PARR,Energy,IJR,sp600_auto,small
PAYC,Industrials,IJR,sp600_auto,small
PAYO,Financials,IJR,sp600_auto,small
PATK,Consumer Discretionary,IJR,sp600_auto,small
PBH,Health Care,IJR,sp600_auto,small
PBI,Industrials,IJR,sp600_auto,small
PCRX,Health Care,IJR,sp600_auto,small
PDFS,Semiconductors,IJR,sp600_auto,small
PEB,Real Estate,IJR,sp600_auto,small
PECO,Real Estate,IJR,sp600_auto,small
PENG,Semiconductors,IJR,sp600_auto,small
PENN,Consumer Discretionary,IJR,sp600_auto,small
PFBC,Financials,IJR,sp600_auto,small
PFS,Financials,IJR,sp600_auto,small
PGNY,Health Care,IJR,sp600_auto,small
PHIN,Consumer Discretionary,IJR,sp600_auto,small
PI,Information Technology,IJR,sp600_auto,small
PIPR,Financials,IJR,sp600_auto,small
PJT,Financials,IJR,sp600_auto,small
PLAB,Semiconductors,IJR,sp600_auto,small
PLMR,Financials,IJR,sp600_auto,small
PLUS,Information Technology,IJR,sp600_auto,small
PLXS,Information Technology,IJR,sp600_auto,small
PMT,Real Estate,IJR,sp600_auto,small
POOL,Consumer Discretionary,IJR,sp600_auto,small
POWI,Semiconductors,IJR,sp600_auto,small
POWL,Industrials,IJR,sp600_auto,small
PPLI,Communication Services,IJR,sp600_auto,small
PRDO,Consumer Discretionary,IJR,sp600_auto,small
PRG,Financials,IJR,sp600_auto,small
PRGO,Health Care,IJR,sp600_auto,small
PRGS,Information Technology,IJR,sp600_auto,small
PRIM,Industrials,IJR,sp600_auto,small
PRK,Financials,IJR,sp600_auto,small
PRKS,Consumer Discretionary,IJR,sp600_auto,small
PRLB,Industrials,IJR,sp600_auto,small
PRSU,Consumer Discretionary,IJR,sp600_auto,small
PRVA,Health Care,IJR,sp600_auto,small
PSMT,Consumer Staples,IJR,sp600_auto,small
PTCT,Health Care,IJR,sp600_auto,small
PTEN,Energy,IJR,sp600_auto,small
PTGX,Health Care,IJR,sp600_auto,small
PTON,Consumer Discretionary,IJR,sp600_auto,small
PZZA,Consumer Discretionary,IJR,sp600_auto,small
QDEL,Health Care,IJR,sp600_auto,small
QNST,Communication Services,IJR,sp600_auto,small
QRVO,Semiconductors,IJR,sp600_auto,small
QTWO,Information Technology,IJR,sp600_auto,small
RAMP,Information Technology,IJR,sp600_auto,small
RAL,Information Technology,IJR,sp600_auto,small
RCUS,Health Care,IJR,sp600_auto,small
RDN,Financials,IJR,sp600_auto,small
RDNT,Health Care,IJR,sp600_auto,small
RELY,Financials,IJR,sp600_auto,small
RES,Energy,IJR,sp600_auto,small
REYN,Consumer Staples,IJR,sp600_auto,small
REX,Energy,IJR,sp600_auto,small
REZI,Industrials,IJR,sp600_auto,small
RHI,Industrials,IJR,sp600_auto,small
RHP,Real Estate,IJR,sp600_auto,small
RITM,Financials,IJR,sp600_auto,small
RNG,Information Technology,IJR,sp600_auto,small
RNST,Financials,IJR,sp600_auto,small
ROAD,Industrials,IJR,sp600_auto,small
ROCK,Industrials,IJR,sp600_auto,small
ROG,Information Technology,IJR,sp600_auto,small
RRR,Consumer Discretionary,IJR,sp600_auto,small
RSI,Consumer Discretionary,IJR,sp600_auto,small
RUN,Industrials,IJR,sp600_auto,small
RUSHA,Industrials,IJR,sp600_auto,small
RXO,Industrials,IJR,sp600_auto,small
SAFE,Real Estate,IJR,sp600_auto,small
SABR,Consumer Discretionary,IJR,sp600_auto,small
SAFT,Financials,IJR,sp600_auto,small
SAH,Consumer Discretionary,IJR,sp600_auto,small
SBCF,Financials,IJR,sp600_auto,small
SBH,Consumer Discretionary,IJR,sp600_auto,small
SBSI,Financials,IJR,sp600_auto,small
SCHL,Consumer Discretionary,IJR,sp600_auto,small
SCL,Materials,IJR,sp600_auto,small
SCSC,Information Technology,IJR,sp600_auto,small
SDGR,Health Care,IJR,sp600_auto,small
SEDG,Semiconductors,IJR,sp600_auto,small
SEI,Energy,IJR,sp600_auto,small
SEZL,Financials,IJR,sp600_auto,small
SFBS,Financials,IJR,sp600_auto,small
SFNC,Financials,IJR,sp600_auto,small
SHAK,Consumer Discretionary,IJR,sp600_auto,small
SHEN,Communication Services,IJR,sp600_auto,small
SHO,Real Estate,IJR,sp600_auto,small
SHOO,Consumer Discretionary,IJR,sp600_auto,small
SIG,Consumer Discretionary,IJR,sp600_auto,small
SKT,Real Estate,IJR,sp600_auto,small
SKY,Consumer Discretionary,IJR,sp600_auto,small
SKYW,Industrials,IJR,sp600_auto,small
SLG,Real Estate,IJR,sp600_auto,small
SLVM,Materials,IJR,sp600_auto,small
SM,Energy,IJR,sp600_auto,small
SMP,Consumer Discretionary,IJR,sp600_auto,small
SMPL,Consumer Staples,IJR,sp600_auto,small
SNDR,Industrials,IJR,sp600_auto,small
SNEX,Financials,IJR,sp600_auto,small
SONO,Consumer Discretionary,IJR,sp600_auto,small
SPHR,Communication Services,IJR,sp600_auto,small
SPNT,Financials,IJR,sp600_auto,small
SPSC,Information Technology,IJR,sp600_auto,small
SRPT,Health Care,IJR,sp600_auto,small
STAA,Health Care,IJR,sp600_auto,small
STBA,Financials,IJR,sp600_auto,small
STC,Financials,IJR,sp600_auto,small
STEP,Financials,IJR,sp600_auto,small
STRA,Consumer Discretionary,IJR,sp600_auto,small
SUPN,Health Care,IJR,sp600_auto,small
SXI,Industrials,IJR,sp600_auto,small
SXT,Materials,IJR,sp600_auto,small
TALO,Energy,IJR,sp600_auto,small
TBBK,Financials,IJR,sp600_auto,small
TDC,Information Technology,IJR,sp600_auto,small
TDS,Communication Services,IJR,sp600_auto,small
TDW,Energy,IJR,sp600_auto,small
TFIN,Financials,IJR,sp600_auto,small
TFX,Health Care,IJR,sp600_auto,small
TGTX,Health Care,IJR,sp600_auto,small
THRM,Consumer Discretionary,IJR,sp600_auto,small
TILE,Industrials,IJR,sp600_auto,small
TMDX,Health Care,IJR,sp600_auto,small
TMP,Financials,IJR,sp600_auto,small
TNC,Industrials,IJR,sp600_auto,small
TNDM,Health Care,IJR,sp600_auto,small
TPC,Industrials,IJR,sp600_auto,small
TR,Consumer Staples,IJR,sp600_auto,small
